अंगत: निजी
इठ्यासी: अट्ठासी
इन्कमटेक्ष: आयकर
इस्पिताल: अस्पताल
ईंडुं: अंडा
ईच्छे: कामना_करती
ईजा: चोट
ईन्कमटेक्षना: आय_कर_का
उंदर: चूहा
उंबरो: दहलीज
उकरडो: घूरा
उकळवुं: फोड़ा
उकाळवुं: उबालना
उकाळेलुं: उबला_हुआ
उकेल: समाधान
उकेलवुं: हल_करना
उखाणुं: पहेली
उघराणी: वसूली
उचाट: बेचैनी
उचापत: दुर्विनियोजन
उच्चारवुं: उच्चारण_करना
उछळवुं: उछलना
उछाळवुं: उछालना
उछीनी: उधार
उछेरवुं: उठाना
उजजड: बंजर
उजवाय: मनाया_जाता
उजाडी: वनभोज
उजाणी: पिकनिक
उठमणुं: उठावना
उठवुं: उठना
उठांतरी: चोरी
उठाडवुं: उठाना
उडाडता: उड़ाने
उडाववुं: उपयोग_करना
उतारवुं: उतारना
उतारुं: यात्री
उतारो: प्रति
उतावळ: उतावली
उत्पादनना: उत्पादन_का
उथलाववुं: उपदस्थ_करना
उद्देश: उद्देश्य
उधरस: खाँसी
उधारीए: उधारी_से
उध्धार: मोक्ष
उनाळो: गरमी
उपजवुं: उपजाना
उपरांत: के_अलावा
उपाड: पैसा_निकालना
उपाडवुं: उठाना
उपाय: चिकित्सा
उभीरे: रूको
उमर: उम्र
उमेरवुं: जोड़ना
उमेरो: जोड़
उलटाववुं: उलटना
उश्केरवुं: भड़काना
ऊंघ: नींद
ऊंचुं: ऊँचा
ऊंचो: ऊंचा
ऊंडाइ: गहराई
ऊंडुं: गहरी
ऊंधुं: औंधा
ऊकळवुं: उबालना
ऊखाडवुं: उखाड़ना
ऊगरवुं: बच_निकलना
ऊगवुं: उगाना
ऊचकवुं: उठाना
ऊजळुं: उज्ज्वल
ऊजववुं: जश्न_मनाना
ऊठवुं: खड़े_होना
ऊडवुं: उड़ना
ऊणप: कमी
ऊतरवुं: उतरना
ऊपजनी: ऊपज_की
ऊपडवुं: प्रस्थान
ऊभाऊभ: हड़बड़ी_में
ऊलटी: वमन
ऊलटुं: विपरीत
ऋजु: नरम
ए: यह
ए_पूर्वे: इसके_पहले
एकंदर: पूरी_तरह_से
एकठां: एकत्रित
एकताळीस: इकतालीस
एकत्रीस: इकतीस
एकधारुं: निरंतर
एकपक्षी: एकपक्षीय
एकम: प्रथमा
एकमेक: परस्पर
एकयाशी: इक्यासी
एकराग: एकता
एकल_दोकल: अकेला
एकलपेटुं: स्वार्थी
एकलवायुं: अकेला
एकवगुं: सब_मिकर
एकवीस: इक्कीस
एकसरखी: एक_समान
एकसरखुं: वर्दी
एकसाथे: एक_साथ
एकाउन्टन्टना: लेखाकार_के
एकाउन्टन्टनो: लेखाकार
एकाउन्टन्टे: अकौन्टट_ने
एकाणुं: इक्यानबे
एकाद_बे: एक_दो
एकाशी: इक्यासी
एकी_साथे: एकसाथ
एकीसाथे: एक_साथ
एकेक: एक_एक_करके
एकोतर: इकहत्तर
एटली: इतनी
एटलुं: इतना
एटले: इसलिए
एटलेज: इसलिए
एठुं: जूठन
एडी: एड़ी
एनी: उसकी
एनुं: इसका
एम: ऐसा
एलची: इलायची
एवडुं: इतना_बड़ा
एवा: ऐसे
एवां: ऐसे
एवामां: इसी_बीच
एवी: ऐसी
एवुं: ऐसा
एवुं_लागे: ऐसा_लगता_है
एश: आनंद
ऐश्वर्य: भक्ति
ओगणचालीस: उनतालीस
ओगणत्रीस: उनतीस
ओगणपचास: उनचास
ओगणसाइठ: उनसठ
ओगणीस: उन्नीस
ओचिन्तुं: अचानक
ओच्छव: उत्सव
ओछां: कम
ओछाबोलुं: सुरक्षित
ओछी: कम
ओछुं: कम
ओछो: अल्प
ओढवुं: ओढ़ना
ओरडो: कमरा
ओरवुं: बोना
ओरी: चेचक
ओलंगवुं: पार_करना
ओलववुं: बुझाना
ओळंगवुं: पार_करना
ओळख: परिचय
ओळगवुं: पिघलाना
ओळवुं: कंघी_करना
ओशीकुं: तकिया
ओसरी: ओसारा
कंइक: कुछ
कंई: कुछ
कंटाळवुं: उबना
कंटाळो: मध्यम
कंदोइ: हलवाई
कंप: कंपन
कंपनी: मंडली
कंपनी_ना: कंपनी_का
कंपनीए: कंपनी_ने
कंपनीओ: कंपनियाँ
कंपनीओना: कफनीओं_के
कंपनीधारानी: कंपनी_की_धाराओं_की
कंपनीनो: कंपनी_का
कंपवुं: कांपना
कंपारी: कंपकंपी
कंसार: कसार
कइं: कहाँ
कइंक: कुछ
कई: कौन_सी
कक्को: वर्णमाला
कचडवुं: कचरना
कचरो: कचरा
कचवाट: असंतोष
कचाश: कच्चापन
कजियाखोर: झगड़ालू
कटको: टुकड़ा
कटोकटी: संकट
कटोरो: कटोरा
कठण: कठिन
कठियारो: लकड़हारा
कठीन: कठिन
कठोळ: दाल
कडको: दरिद्र
कडवुं: कड़वी
कडाकूट: अनावश्यक_परेशानी
कडुं: कड़ा
कढंगुं: बेढंग
कण: दाना
कणसवुं: कराहना
कथळवुं: खराब_होना
कदरूपुं: कुरूप
कदावर: विशाल
कनडगत: उत्पीड़न
कपडां: कपड़ा
कपडांलत्तां: कपड़े
कपडुं: कपड़ा
कपरुं: कठिन
कपाळ: कपाल
कबजीयात: कब्ज
कबाट: आलमारी
कमनसीब: दुर्भाग्यशाली
कमळ: कमल
कमळो: पीलिया
कमाववानी: कमाने_की
कमावुं: कमाना
कमुरत: असमय
कमोत: कुमौत
कया: कौनसे
कयां: कहाँ
कयारे: कब
कयिक: कुछ
करकसर: अर्थव्यवस्था
करगरवुं: विनम्रतापूर्वक_अनुरोध_करना
करचलो: केकड़ा
करज: ऋण
करता_करता: करते_करते
करतां: की_अपेक्षा
करतुं: करता_हुआ
करनार: करने_वाला
करनारां: करने_वाले
करमावुं: सूखना
करवा: करने
करवाना: करने_के
करवानी: करने_की
करवानुं: करने_का
करवानो: करने
करवी: करें
करवुं: करना
करवेरा: कर
करवो: करना
करशे: करेगा
करा: ओला
कराववा: कराने
करियाणुं: किराना
करी: कर
करी_रही: कर_रही
करीए: करते_हैं
करीशुं: करेंगे
करूप: कुरूप
करेलां: किए
करेली: की_हुयी
करोड: करोड़
करोडरजजु: रीढ़_की_हड्डी
करोळियो: मकड़ी
कर्मचारीओ: कर्मचारी
कर्या: किये
कर्युं: किया
कर्यो: किया
कलाक: एक_घंटा
कल्पवुं: कल्पना_करना
कळी: कली
कशुं: जो_कुछ
कशुंक: कुछ
कसोटी: कसौटी
कही: कह_कर
कहीए: कहा_जाय_तो
कहे: कहा
कहेण: संदेश
कहेवत: कहावत
कहेवत: कहावत_है
कहेवुं: कहना
कह्यागरुं: आज्ञाकारी
कह्युं: कहा
कांकरी: कंकड़
कांकरो: कंकड़
कांटाळुं: कंटीला
कांटो: कांटा
कांठो: किनारा
कांठो: तट
कांदो: प्याज
कांसको: कंघी
काकडी: ककड़ी
काकाजी: ससुर_के_भाई
काकीजी: ससुर_के_भाई_की_पत्नी
कागडो: कौवा
कागळ: पत्र
काचबो: कछुआ
काचा: कच्चा
काचिंडो: गिरगिट
काचुं: कच्चे
काजळ: काजल
काट: जंग
काढवुं: निकालना
काढी: निकाल_कर
काढुं: निकालता
काढ्या: निकालने_के_बाद
काणुं: काना
कातर: कैंची
कातरवुं: कतरना
कातवुं: कातना
कादव: कीचड़
काप: कमी
कापड: कपड़ा
कापडनी: कपडे_की
कापवुं: काटना
कामगरां: उद्यमी
कामदार: श्रमिक
कामधंधो: कामधंधा
कामवाळी: काम_वाली
कायदाओ: कानुनो
कायदो: कानून
कायम: हमेशा_के_लिए
कायमी: स्थायी
काय़मी: स्थायी
कारकुन: क्लर्क
कारखानुं: कारखाना
कारणे: कारण_से
कारभार: प्रबंधन
काल: कल
काळजी: देखभाल
काळजीपूर्वक: सावधानी_से
काळजुं: लीवर
काळां_काळां: काला_काला
काळुं: काला
कावतरुं: धोखाधड़ी
किंमत: कीमत
किंमतनो: कीमत_का
किंमते: मूल्य_से
किंमतो: कीमतें
किमती: कीमती
किल्लो: किला
कीटली: केतली
कीडी: चींटी
कीडो: कीट
कीधी: कही
कुंभार: कुम्हार
कुंवारुं: कुवांरा
कुटेव: बुरी_आदत
कुहाडी: छोटी_कुल्हाड़ी
कुहाडो: कुल्हाड़ी
कूंची: कुंजी
कूंपळ: अंकुर
कूकडी: मुर्गी
कूकडो: मुर्गा
कूतरी: कुतिया
कूतरुं: कुत्ता
कूतरो: कुत्ता
कूथली: घोटाला
कूदवुं: कूदना
कूळदेव: कुलदेवता
कूवो: कुँआ
के: कि
केटला: कितने
केटलां: कितने
केटलांक: कुछ
केटलाक: कुछ
केटली: कितनी
केटलीक: कितनी
केटलुं: कितना
केटलो: कितना
केड: कमर
केद: जेल
केदी: कैदी
केपनीओ: कंपनियाँ
केम: क्यों
केम_के: क्योंकि
केरी: आम
केळ: केला
केळवणी: परवरिश
केळववुं: परवरिश_करना
केळुं: केला
केवडुं: कितना_बड़ा
केवि: किस
केवि: किस
केवुं: किस_प्रकार_का
केवो: कैसी
केसरी: भगवा
कोई: बुआ
कोईपण: कोई_भी
कोगळीयुं: हैजा
कोगळो: कुल्ला
कोण: कौन
कोणी: कोहनी
कोथमीर: धनिया
कोथमीर: हरा_धनिया
कोदाळी: कुदाल
कोनुं: किसका
कोने: किसको
कोपरुं: गरी
कोम: कौम
कोमवाद: सांप्रदायिकता
कोयी: कोई
कोरवुं: छेद_करना
कोलसो: कोयला
कोळुं: कद्दू
कोहवुं: सड़ांध
कौभांड: घोटाला
क्यरो_पूंजो: कूड़ा_कचरा
क्यां: कहाँ
क्यांथी: खाँ_से
क्यांय: कहीं
क्यांय: कहीं_नहीं
क्यारे: कब
क्यारेक: कभी_कभी
क्यारेय: कदापि_नहीं
क्यारेय: कदापि_नहीं
क्रुर: क्रूर
क्षार: खारा
खंजवाळवुं: खुजलाना
खंडियेर: खण्डहर
खखडवुं: खड़खड़
खखडाववुं: दस्तक_देना
खचकावुं: संकोच_करना
खजानची: खजांची
खजानो: खजाना
खजूरो: कनखजूरा
खटकवुं: पश्चाताप_करना
खटमीठुं: खट्टे_मीठे
खटराग: झगड़ा
खटलो: मुकद्दमा
खटववुं: खट्टा_करना
खटारो: मोटर_ट्रक
खटुंबडुं: थोड़ा_खट्टा
खडक: चट्टान
खडकलो: ढेर
खडेचोक: सार्वजनिक_रूप_से
खणवुं: खरोंचना
खतरो: खतरा
खभो: कंधा
खमवुं: सहन_करना
खमीस: कमीज
खरपवुं: खुरपा
खरवुं: गिरना
खरी: चाहिए
खरीदतां: खरेदी_करते
खरीदवा: खरिदने
खरीदवानी: खरेदी_की
खरीद्यु: खरिदा
खरुं: सही
खरेखर: वास्तव_में
खर्चनी: खर्चका
खर्चनो: खर्चका
खलासी: नाविक
खलेल: अशांति
खळखळ: कलकल
खसेडवुं: चलाना
खा: खाओ
खांड: चीनी
खांडवुं: पौंड
खाटकी: कसाई
खाटलो: खाट
खाटवुं: लाभान्वित_होना
खाटुं: खट्टा
खाडो: गड्ढा
खाण: खान
खाणियो: खनिक
खाणुं: खाना
खातमुरत: स्थापना
खातर: आतिथ्य
खातां: खाते
खातानी: खाते_की
खातानो: खाते_का
खातु: खाता
खातुं: खाता
खाधाखोराकी: आजीविका
खाधी: खाई
खानगी: रहस्य
खामी: कमी
खामीओ: त्रुटियाँ
खारुं: खारा
खारेक: खारक
खाळ: नाली
खावुं: खाना
खास: विशेष
खिसकोली: गिलहरी
खीचोखीच: घनी
खीजववुं: चिढ़ाना
खीण: खाई
खील: मुहांसा
खीलवुं: खिलना
खीस्सुं: जेब
खुरशी: कुर्सी
खुलासो: खुलासा
खुल्लुं: खुला
खूंचववुं: छीनना
खूंध: कूबड़
खूटवुं: खत्म_होना
खूणे: कोने
खूणो: कोना
खूलवुं: खोलना
खेंचाण: आकर्षण
खेडूत: किसान
खेतर: खेत
खेलवुं: खेलना
खेलाडी: खिलाड़ी
खेवना: देखभाल
खोखुं: खोंखा
खोट: हानि
खोटकावुं: बिगड़_जाना
खोटी: झूठी
खोटुं: गलत
खोड: दोष
खोडवुं: खड़ा_करना
खोदवुं: खोदना
खोदाण: खुदाई
खोपरी: खोपड़ी
खोरवावुं: बाधित_होना
खोराक: खुराक
खोलवुं: खोलना
खोळीयुं: खोल
खोळो: गोद
खोवुं: खोना
खोसवुं: खोंसना
ख्यालो: ख्यालों
ख्यालोनी: ख्यालों_की
ख्यालोनो: ख्यालों_के
गंदकी: गंदगी
गंदु: गंदा
गंधावुं: बदबू_आना
गइकाल: कल
गइकाले: कल
गगडवुं: लुढ़कना
गजरो: गजरा
गजवुं: जेब
गझल: गजल
गटगटाववुं: गतगटा_जाना
गठ्ठो: गांठ
गडमथल: कड़ी_मेहनत
गढवी: किले_का_रक्षक
गणकारवुं: देखभाल_करना
गणतरी: गिनती
गणतां: गिनते
गणवुं: गिनना
गणवो: गिनना
गणातो: गिना_जाता
गणाय: गिनी_जाती
गणायो: गिनाया_गया
गणी: गिनते_हुए
गणीए: गिनिए
गणेल: गिना_हुआ
गणेलो: गिना_हुआ
गण्युंगांठयुं: थोड़ा_सा
गतागम: समझ
गधेडुं: गधा
गपगोळो: अफवाह
गभराट: घबराहट
गभरावुं: घबराना
गभरुं: भोलाभाला
गमवुं: पसंद_करना
गमार: गवाँर
गमे: पसन्द
गमे_त्यां: कहीं_भी
गम्मत: आमोद
गर: लुगदी
गरजवुं: गरजना
गरजु: जरूरतमंद
गरनाळुं: पुलिया
गरवुं: गिरना
गरीबाइ: गरीबी
गरोळी: छिपकली
गलकी: गिल्की
गल्लांतल्लां: बहाना
गल्लो: गल्ला
गळचटुं: मीठा
गळची: गला
गळणी: कुप्पी
गळपण: मिठास
गळवुं: गलना
गळाटूंपो: गला_काटना
गळुं: गला
गवैयो: गवैया
गांगडो: ठोस_गांठ
गांडुं: पागल
गाजवीज: गड़गड़ाहट
गाजवुं: गड़गड़ाना
गाढ: मोटी
गाणुं: गाना
गादलुं: गद्दा
गादी: गद्दी
गाबडुं: गड्ढा
गाम: गाँव
गालीचो: कालीन
गाळ: गाली
गाळवुं: समय_काटना
गाळानी: समय_सीमा_की
गाळे: समय_सीमा_में
गावुं: गाना
गीध: गिद्ध
गीरवी: गिरवी
गीरो: बंधक
गुंजवुं: गूँजना
गुंडो: गुंडा
गुंदर: गोंद
गुजरवुं: गुजरना
गुजरान: आजीविका
गुजारवुं: समय_गुजारना
गुटको: लघु_पुस्तिका
गुणवुं: गुणा_करना
गुणाकार: गुणा
गुणोत्तरा: गुणोत्तर
गुणोत्तरोनी: गुणोत्तरों_की
गुणोत्तरोनो: गुणोत्तरो_का
गुनेगार: अपराधी
गुनो: अपराध
गुमाववुं: खोना
गुलमोर: गुलमोहर
गुस्सो: क्रोध
गूंगळावुं: घुटन_होना
गूंथवुं: बुनना
गूंदवुं: रौंदना
गूण: बोरी
गूमडुं: फोड़ा
गेरकायदे: अवैध
गेरकायदेसर: अवैध_रूप_से
गेररस्ते: गलत_तरीके_से
गेरलाभ: हानि
गेरवल्ले: गलत_जगह_पर
गेरववुं: गिराना
गेरवहीवट: कुप्रबंधन
गेरसमज: गलतफहमी
गोकळगाय: घोंघा
गोखवुं: रटना
गोझारुं: पापी
गोटली: गुठली
गोटलो: गुठली
गोठववुं: व्यवस्था_करना
गोदडी: गुदड़ी
गोळ: गोल
गोळगोळ: गोलगोल
गोळी: गोली
गोवाळ: ग्वाला
गोवाळणी: ग्वालन
ग्रेच्युईटीनी: ग्रेच्युईटी_की
घंटडी: छोटी_घंटी
घउं: गेहूँ
घउंवर्णुं: गेहुंआ_रंग
घटती: उचित
घटतुं: ठीक_से
घटमाळ: घटनाक्रम
घटवुं: घटना
घटस्फोट: खुलासा
घटाडवुं: घटाना
घटाडा: घाटा
घटाडाना: घटाव_के
घटाडो: कमी
घडपण: वृद्धावस्था
घडवुं: गढ़ना
घडाइ: गढ़ाई
घडियाल: घड़ी
घडियाळ: घड़ी
घडो: घड़ा
घण: घन
घणा: बहुत
घणां: काफी_सारे
घणी: बहुत
घणुं: बहुत
घरगथ्थु: गृह_उत्पादित
घरचोळुं: गृहचालित
घरडुं: पुराना
घरवखरी: घरेलू_चीजें
घराक: ग्राहक
घवावुं: घायल_होना
घसडवुं: खींचना
घसडावुं: घसीटा_जाना
घसारा: घिसना_पिटना
घसाराना: टूट_फूट_का
घसारानी: टूट_फूट_का
घसारो: घिसाई
घा: घाव
घाघरो: घाघरा
घालखादनी: पूंजी_की_कमी
घालखाध: दूसरे_के_पास_पैसा_अटका_होने_से_होता_घाटा
घालवुं: घुसना
घुवड: उल्लू
घूंटी: पहेली
घूमरावुं: चक्कर_लगाना
घूमरी: भँवर
घूमवुं: घूमना
घूरकवुं: घूरना
घूसणियुं: घुसपैठिया
घूसवुं: घुसना
घेटुं: भेड़
घेन: नशा
घेर: घेरा
घेरवुं: घेरना
घेरुं: गहरा
घेलछा: सनक
घेलुं: पागलपन
घोडागाडी: घोड़ा_गाड़ी
घोडापूर: अचानक_बाढ़
घोडी: घोड़ी
घोडीयुं: झूला
घोडो: घोड़ा
चंचळ: चंचल
चंपल: चप्पल
चंपो: चंपा
चककर: चक्र
चकचकवुं: चमकना
चकचकीत: चमकीला
चकली: गौरैया
चकलो: गौरैया
चकळविकळ: भयभीत_और_हैरान
चकासवुं: जांच_करना
चकोर: सावधान
चक्रवृध्धि: चक्रवृद्धि_ब्याज
चगदवुं: रौंदना
चगळवुं: चबाना
चटणी: चटनी
चटपट: तुरन्त
चटपटी: बेचैनी
चडउतर: उत्थान_और_पतन
चडती: वृद्धि
चडती_पडती: चढ़ाव_उतार
चडतुं: चढ़ता_हुआ
चडवुं: चढ़ना
चडसाचडसी: तीव्र_प्रतिद्वंद्विता
चडाइ: आक्रमण
चणवुं: निर्माण_करना
चणियो: पेटीकोट
चणो: चना
चपळ: कुशल
चपाटी: चपाती
चपोचप: जल्दी_से
चप्पु: चाकू
चबराक: बातूनी
चबूतरो: चबूतरा
चमचो: चम्मच
चरखो: चरखा
चरवुं: चरना
चर्चवुं: चर्चा_करना
चलण: मुद्रा
चलनदर: चलन_दर
चळवळ: आंदोलन
चळवुं: चलना
चवाणुं: चावल
चहेरो: चेहरा
चा: चाय
चांचड: पिस्सू
चांदुं: अल्सर
चांदो: चाँद
चांप: स्विच
चाखवुं: चखना
चाटवुं: चाटना
चाबूक: चाबुक
चामडी: चमड़ी
चामडुं: चमड़ा
चामाचीडीयुं: चमगादड़
चार: चारा
चारो: चारा
चाल: चल
चालचलगत: व्यवहार
चालतो: चलता_हुआ
चालवुं: चलना
चाली: चल
चालुं: चालु
चाले: चलते
चाळणी: चलनी
चाववुं: चबाना
चावी: चाबी
चितार: चित्र
चित्तो: चीता
चिबावलुं: बचकाना
चिबुक: ठोड़ी
चींथरेहाल: चिथड़ेहाल
चींधवुं: उंगली_दिखाना
चीकणुं: चिकना
चीड: चीढ़
चीतरवुं: चित्र_बनाना
चीतळो: चीतल_साँप
चीरवुं: चीरना
चीवट: देखभाल
चीस: चीख
चुंगाल: चंगुल
चुंमाळीस: चौवालीस
चुंमोतेर: चौहत्तर
चूंक: पेट_दर्द
चूंटणी: चुनाव
चूंथवुं: लूटना
चूंदडी: चुनरी
चूकववा: चुकाने_के_लिए
चूकववानी: चुकाने_की
चूकववुं: चुकाना
चूकवी: चुका_कर
चूकवुं: चूकना
चूकवेल: चुकाया_गया
चूकादो: निर्णय
चूगवुं: चुगना
चूपकीदी: चुप्पी
चूपचाप: चुपचाप
चूमवुं: चूमना
चूलो: चुल्हा
चूवुं: रिसना
चूसवुं: चूसना
चूस्त: चुस्त
चे: है
चेतवणी: चेतावनी
चेतववुं: चेतावनी_देना
चेतवुं: चेतना
चेन: शांति
चेप: संक्रमण
चेलो: चेला
चेवडो: चिउड़ा
चेह: चिता
चोंकवुं: चौंकना
चोक: चौक
चोकडी: चौराहा
चोकी: चौकी
चोक्कस: अवश्य
चोक्साई: सावधानी
चोखा: चावल
चोख्खा: शुद्ध
चोख्खाइ: सफाई
चोख्खी: मात्र
चोख्खुं: साफ_करना
चोख्खो: मात्र
चोघडीयुं: चौघड़िया
चोतरफ: चौतरफा
चोत्रीस: चौंतीस
चोथ: चतुर्थी
चोपगुं: चौपाया
चोपडवुं: चोपड़ना
चोपडी: किताब
चोपडे: हिसाब_किताब_में
चोपडो: लेखा_पुस्तिका
चोपन: चौवन
चोमासुं: चौमास
चोरवुं: चोरी_करना
चोरस: चौरस
चोराशी: चौरासी
चोरो: चौपाल
चोळवुं: रगड़ना
चोवीस: चौबीस
चोसठ: चौंसठ
चौद: चौदह
छ: छह
छंछेडवुं: छेड़ना
छकको: छक्का
छकवुं: भटक_जाना
छटकवुं: छटकना
